word,pictogram_id,synset,word_senses
a,3021,03630568-n,a%1:00:00::
a,,04527916-n,a%1:00:00::
a,,04527916-n,a%1:00:00::
a,,08846838-n,a%1:00:00::
a._a._michelson,37954,07434634-n,a._a._michelson%1:00:00::
a._a._milne,37954,07436069-n,a._a._milne%1:00:00::
a._e._w._mason,3045,07426413-n,a._e._w._mason%1:00:00::
a.m.,32848,04174160-n,a.m.%1:00:00::
a.m.,,00079107-a,a.m.%3:00:00::
a_años_luz,36455,03431231-n,a_años_luz%1:00:00::
a_bocajarro,,00453144-a,a_bocajarro%3:00:00::
a_bordo,,00118596-r,a_bordo%4:00:00::
a_buena_fé,36538,00077571-r,a_buena_fé%4:00:00::
a_caballo,27626,00000237-r,a_caballo%4:00:00::
a_cambio,34713,00187067-r,a_cambio%4:00:00::
a_capella,,00000000-r,a_capella%4:00:00::
a_cappella,,00000000-r,a_cappella%4:00:00::
a_cara_descubierta,36733,00097975-r,a_cara_descubierta%4:00:00::
a_continuación,,00165105-r,a_continuación%4:00:00::
a_cualquier_precio,9874,00071498-r,a_cualquier_precio%4:00:00::
a_cuatro_patas,37969,00077344-r,a_cuatro_patas%4:00:00::
a_destajo,,00123671-r,a_destajo%4:00:00::
a_efectos_practicos,,00024924-r,a_efectos_practicos%4:00:00::
a_escondidas,,00119749-r,a_escondidas%4:00:00::
a_eso,39393,00214088-r,a_eso%4:00:00::
a_favor,8195,00136867-r,a_favor%4:00:00::
a_gran_escala,37082,00825991-a,a_gran_escala%3:00:00::
a_gusto,,01073429-a,a_gusto%3:00:00::
a_horcajadas,29566,01833444-v,a_horcajadas%2:00:00::
a_horcajadas,,00131156-r,a_horcajadas%4:00:00::
a_internacional,,04662512-n,a_internacional%1:00:00::
a_la_defensiva,,03264427-n,a_la_defensiva%1:00:00::
a_la_deriva,,00126904-r,a_la_deriva%4:00:00::
a_la_deriva,,00126950-r,a_la_deriva%4:00:00::
a_la_inglesa,2937,00207810-r,a_la_inglesa%4:00:00::
a_la_izquierda,38456,00178344-r,a_la_izquierda%4:00:00::
a_la_larga,25908,09803604-n,a_la_larga%1:00:00::
a_la_medida,32586,02178465-n,a_la_medida%1:00:00::
a_la_orilla,,00122902-r,a_la_orilla%4:00:00::
a_la_par,34643,00188043-r,a_la_par%4:00:00::
a_la_vez,39393,00052103-r,a_la_vez%4:00:00::
a_la_vez,,00052165-r,a_la_vez%4:00:00::
a_la_vez,,00069445-r,a_la_vez%4:00:00::
a_la_vez,,00076400-r,a_la_vez%4:00:00::
a_largo_plazo,,09803604-n,a_largo_plazo%1:00:00::
a_largo_plazo,,00858869-a,a_largo_plazo%3:00:00::
a_level,,09311189-n,a_level%1:00:00::
a_lo_grande,4658,00105339-r,a_lo_grande%4:00:00::
a_lo_largo,39393,00028579-r,a_lo_largo%4:00:00::
a_lo_largo_de,39393,00028748-r,a_lo_largo_de%4:00:00::
a_lo_largo_de,,00028813-r,a_lo_largo_de%4:00:00::
a_lo_largo_y_a_lo_ancho,4559,00390004-a,a_lo_largo_y_a_lo_ancho%3:00:00::
a_lo_lejos,39393,00042874-r,a_lo_lejos%4:00:00::
a_lo_mejor,39393,00142173-r,a_lo_mejor%4:00:00::
a_lo_sumo,,00044445-r,a_lo_sumo%4:00:00::
a_lápiz,2992,01828910-a,a_lápiz%3:00:00::
a_mal_tiempo_buena_cara,36733,01568406-v,a_mal_tiempo_buena_cara%2:00:00::
a_mano,24551,00054868-r,a_mano%4:00:00::
a_medida,32586,00401307-a,a_medida%3:00:00::
a_medida,,00078716-r,a_medida%4:00:00::
a_medio_camino,35835,00121273-r,a_medio_camino%4:00:00::
a_mujeriegas,,00207810-r,a_mujeriegas%4:00:00::
a_nivel_practico,9119,00024924-r,a_nivel_practico%4:00:00::
a_para_pelada,,01282100-a,a_para_pelada%3:00:00::
a_pelo,2695,00132174-r,a_pelo%4:00:00::
a_perpetuidad,,00037081-r,a_perpetuidad%4:00:00::
a_pie,4937,00113143-r,a_pie%4:00:00::
a_pie_pelado,4937,01282100-a,a_pie_pelado%3:00:00::
a_plomo,,00003321-r,a_plomo%4:00:00::
a_popa,,00130971-r,a_popa%4:00:00::
a_popa,,00131088-r,a_popa%4:00:00::
a_posteriori,,00085077-a,a_posteriori%3:00:00::
a_posteriori,,00119294-r,a_posteriori%4:00:00::
a_primera_vista,28825,00043782-r,a_primera_vista%4:00:00::
a_priori,,00084980-a,a_priori%3:00:00::
a_priori,,00119359-r,a_priori%4:00:00::
a_propósito,,00071767-r,a_propósito%4:00:00::
a_prueba,30776,00077493-r,a_prueba%4:00:00::
a_sabiendas,,00110955-r,a_sabiendas%4:00:00::
a_simple_vista,28825,03580494-n,a_simple_vista%1:00:00::
a_sotavento,,00128207-r,a_sotavento%4:00:00::
a_tientas,,00163069-r,a_tientas%4:00:00::
a_toda_prisa,,00096789-r,a_toda_prisa%4:00:00::
a_toda_vela,4562,00177777-r,a_toda_vela%4:00:00::
a_todo_correr,37484,00096789-r,a_todo_correr%4:00:00::
a_todo_dar,39393,00970790-a,a_todo_dar%3:00:00::
a_todo_vapor,31478,00177777-r,a_todo_vapor%4:00:00::
a_través,39393,00129377-r,a_través%4:00:00::
a_trompicones,,00071706-r,a_trompicones%4:00:00::
a_un_lado,39393,00083407-r,a_un_lado%4:00:00::
a_un_tiempo,39393,00069445-r,a_un_tiempo%4:00:00::
a_veces,27387,00008484-r,a_veces%4:00:00::
a_voluntad,,00069514-r,a_voluntad%4:00:00::
a_voluntad,,00109814-r,a_voluntad%4:00:00::
a_éste,39393,00165374-r,a_éste%4:00:00::
